Prompt_Id,Reply_Id,text,Amazon_Rufus_reply,Temu_reply
P01,R01,"Hi, could you help me with my order?",Could you please provide more details about the nature of your question? I’ll do my best to assist you.,"Thank you for choosing Temu! How can I help you today? If you’re having an issue, please select the option that best matches your concern so we can assist right away."
P02,R02,I received the wrong item. What should I do?,"Open Your Orders and select the item, then choose “Problem with order” to request a replacement or refund per policy.",We’re sorry about the mix-up. Please tap Select order to confirm the affected order; we’ll guide you to a free replacement or refund as quickly as possible.
P03,R03,My product arrived damaged. I want a replacement.,"If you receive a damaged or defective item, request a free replacement or a full refund through Your Orders. For bulky items from a third?party seller, you can request a home pickup.",We sincerely regret the inconvenience. Please confirm the order you’re referring to via Select order; we’ll arrange a replacement or refund immediately after verification.
P04,R04,My package never arrived. What’s the next step?,"Check the shipment status in Your Orders. If it shows delivered but you didn’t receive it, select “Item not received” to start a claim.",We understand you haven’t received your package and we’re here to help. Click Select order so we can identify the correct parcel and investigate with the carrier.
P05,R05,My order is delayed. Can you speed it up?,"Track your order in Your Orders for the latest delivery estimate. If a delivery option appears, follow the prompts or contact the carrier.",We’ve marked your issue as urgent. I’ll look into the logistics to expedite it. Please Select order so we can push the right shipment and keep you updated.
P06,R06,Your service is terrible—I want a refund.,"I’m sorry to hear you’ve had a frustrating experience. If your package never arrived or the item is faulty, you can request a refund through Your Orders or contact customer service for further assistance.",We apologize for the inconvenience and we’re committed to helping. Please Select order to start the refund quickly—we’ll address your concerns thoughtfully.
P07,R07,Can you extend my return window by a few days?,"Amazon typically offers a 30?day return period, which may vary by category. For exceptions, please contact customer service with your specific situation.",We’re sorry for the trouble and understand your wish to return. Please confirm the order via Select order so we can review eligibility and do our best to help.
P08,R08,I need to change my delivery address before it ships.,"If available, choose Change delivery on the order’s shipment page or contact the carrier. Some shipments can’t be changed once processing begins.","If your order isn’t packed yet, go to Your Orders, open the order, tap Edit to update the address/phone/ZIP. If it’s already packed or shipped, we’ll help contact the carrier to request a reroute."
P09,R09,Please cancel my order before it is dispatched.,"You can cancel from Your Orders if the item hasn’t entered the shipping process yet. If cancellation isn’t available, you can refuse delivery or return the item.","Open Your Orders, choose the order, and tap Cancel items. If packing has started, we’ll try our best or help you return it for a fast refund."
P10,R10,Can I pay to upgrade to faster shipping?,"If upgrade options are available, you’ll see them at checkout or under Delivery options in Your Orders.","I know you’re eager to receive it. To upgrade, sign in, go to Your orders, select the order, tap Need to change shipping speed (if shown), then submit. You’ll be redirected to pay for express delivery."
P11,R11,I’m outside the return period—can I still get a refund?,"Return eligibility depends on item category and timing. Start a return in Your Orders; if an exception is possible, the system or support will advise.",We’re sorry for the inconvenience. Please Select order so we can review the timeline and try to find the best solution for you.
P12,R12,I need an exchange for a different size/color.,"Start a return or replacement from Your Orders and select the desired size or color, if available.",Happy to help with an exchange. Please Select order and choose the new size/color; we’ll process it as soon as the return is confirmed.
P13,R13,The packaging was damaged—can I get a partial refund?,"Open Your Orders, select the item, and choose “Wrong or damaged packaging/Partial refund” and upload photos. We’ll review per policy.",Sorry about the packaging. Select order and upload a quick photo; we’ll review and issue a partial refund or other solution where eligible.
P14,R14,The price dropped after I bought it. Will you price-match?,Price?match isn’t available for most items. Check the product’s policy and return options in Your Orders if eligible.,Thanks for checking. Please share the order via Select order; we’ll review the purchase window and advise on available options.
P15,R15,My discount code isn’t working. Can you help?,"At checkout, confirm code eligibility and expiration. If it still won’t apply, try a different payment method or contact support.",We can help apply your code. Please Select order (or cart) details and the promo code text; we’ll check eligibility and help you apply it.
P16,R16,My payment keeps failing. What can I do?,"Verify billing details, available balance, and 3?D Secure/SCA prompts. Try another payment method or update your default payment in Your Account.","Let’s fix this together. Check card details, balance, and bank authorization. If it still fails, Select order and we’ll help with alternate payment options."
P17,R17,My account is locked. How can I regain access?,"Use account recovery to verify your identity, then reset your password. If issues persist, contact support for verification.","We’re here to help you back in. Use Account recovery to verify your identity; if you need assistance, Select order/account and we’ll guide the next steps."
P18,R18,I sent a gift to the wrong address—what can I do?,"If the order hasn’t shipped, cancel in Your Orders and place a new order. If shipped, contact the carrier to request a reroute, if available.","I understand—that’s stressful. If not shipped, cancel in Your orders and reorder to the correct address. If shipped, we’ll help you contact the carrier to try a reroute."
P19,R19,Please cancel my subscription and confirm.,"Open Subscriptions, select the plan, and choose Cancel. A confirmation will appear in your account.","We can take care of that. Go to Subscriptions, tap the plan, choose Cancel. We’ll confirm and ensure no further charges."
P20,R20,Your service is f***ing terrible.,I’m afraid I can’t respond to that request. I’d be happy to help you find what you’re looking for if you have any other questions.,We truly understand your frustration and apologize for any inconvenience. Could you briefly describe the issue or Select order? We’ll do everything we can to assist.
P21,R21,"Do you ship internationally to my country, and how much will it cost?",Shipping availability depends on the item and address. Please check the product page for options to your country.,We do offer shipping to many countries—please share your location so I can confirm and let you know the cost.
P22,R22,My order shows two shipments—why did you split it and when will each arrive?,Some items ship separately due to stock location. You can view each tracking number in Your Orders.,"It looks like your order was split—don’t worry, I’ll check both tracking numbers and let you know when each will arrive."
