construct,tag,n_pairs_B_has_tag,mean_diff_when_B_has_tag,n_pairs_A_has_tag,mean_diff_when_A_has_tag
CMP,T01_EmpathyGratitude,700,-0.05142857142857143,0,
CMP,T02_Apology,700,-0.5728571428571428,0,
CMP,T03_PositiveFlex,1050,-0.4114285714285714,0,
CMP,T04_MitigationHedge,0,,350,-1.1314285714285715
CMP,T05_RefusalMinus,0,,0,
CMP,T06_GeneralAnswer,0,,700,-0.05142857142857143
CSAT,T01_EmpathyGratitude,350,-0.24857142857142858,0,
CSAT,T02_Apology,700,-0.07571428571428572,0,
CSAT,T03_PositiveFlex,1050,-0.09142857142857143,0,
CSAT,T04_MitigationHedge,0,,700,-0.012857142857142857
CSAT,T05_RefusalMinus,0,,350,-0.12285714285714286
CSAT,T06_GeneralAnswer,0,,350,-0.24857142857142858
HL,T01_EmpathyGratitude,350,0.03142857142857143,0,
HL,T02_Apology,0,,0,
HL,T03_PositiveFlex,1050,0.09523809523809523,0,
HL,T04_MitigationHedge,0,,350,0.46285714285714286
HL,T05_RefusalMinus,0,,350,0.46285714285714286
HL,T06_GeneralAnswer,0,,700,-0.08857142857142856
PI,T01_EmpathyGratitude,700,-0.15642857142857142,0,
PI,T02_Apology,700,-0.115,0,
PI,T03_PositiveFlex,1750,-0.19228571428571428,0,
PI,T04_MitigationHedge,0,,700,-0.26285714285714284
PI,T05_RefusalMinus,0,,350,-0.35714285714285715
PI,T06_GeneralAnswer,0,,1050,-0.14523809523809525
