Prompt_Id,Reply_Id,text,Chatbot_ID,Chatbot_A_replies,Chatbot_ID,Chatbot_B_replies
P01,R01,"Hi, could you help me with my order?",P01_A,Could you please provide more details about the nature of your question? I’ll do my best to assist you.,P01_B,"Thank you for choosing Temu! How can I help you today? If you’re having an issue, please select the option that best matches your concern so we can assist right away."
P02,R02,I received the wrong item. What should I do?,P02_A,"Open Your Orders and select the item, then choose “Problem with order” to request a replacement or refund per policy.",P02_B,We’re sorry about the mix-up. Please tap Select order to confirm the affected order; we’ll guide you to a free replacement or refund as quickly as possible.
P03,R03,My product arrived damaged. I want a replacement.,P03_A,"If you receive a damaged or defective item, request a free replacement or a full refund through Your Orders. For bulky items from a third?party seller, you can request a home pickup.",P03_B,We sincerely regret the inconvenience. Please confirm the order you’re referring to via Select order; we’ll arrange a replacement or refund immediately after verification.
P04,R04,My package never arrived. What’s the next step?,P04_A,"Check the shipment status in Your Orders. If it shows delivered but you didn’t receive it, select “Item not received” to start a claim.",P04_B,We understand you haven’t received your package and we’re here to help. Click Select order so we can identify the correct parcel and investigate with the carrier.
P05,R05,My order is delayed. Can you speed it up?,P05_A,"Track your order in Your Orders for the latest delivery estimate. If a delivery option appears, follow the prompts or contact the carrier.",P05_B,We’ve marked your issue as urgent. I’ll look into the logistics to expedite it. Please Select order so we can push the right shipment and keep you updated.
P06,R06,Your service is terrible—I want a refund.,P06_A,"I’m sorry to hear you’ve had a frustrating experience. If your package never arrived or the item is faulty, you can request a refund through Your Orders or contact customer service for further assistance.",P06_B,We apologize for the inconvenience and we’re committed to helping. Please Select order to start the refund quickly—we’ll address your concerns thoughtfully.
P07,R07,Can you extend my return window by a few days?,P07_A,"Amazon typically offers a 30?day return period, which may vary by category. For exceptions, please contact customer service with your specific situation.",P07_B,We’re sorry for the trouble and understand your wish to return. Please confirm the order via Select order so we can review eligibility and do our best to help.
P08,R08,I need to change my delivery address before it ships.,P08_A,"If available, choose Change delivery on the order’s shipment page or contact the carrier. Some shipments can’t be changed once processing begins.",P08_B,"If your order isn’t packed yet, go to Your Orders, open the order, tap Edit to update the address/phone/ZIP. If it’s already packed or shipped, we’ll help contact the carrier to request a reroute."
P09,R09,Please cancel my order before it is dispatched.,P09_A,"You can cancel from Your Orders if the item hasn’t entered the shipping process yet. If cancellation isn’t available, you can refuse delivery or return the item.",P09_B,"Open Your Orders, choose the order, and tap Cancel items. If packing has started, we’ll try our best or help you return it for a fast refund."
P10,R10,Can I pay to upgrade to faster shipping?,P10_A,"If upgrade options are available, you’ll see them at checkout or under Delivery options in Your Orders.",P10_B,"I know you’re eager to receive it. To upgrade, sign in, go to Your orders, select the order, tap Need to change shipping speed (if shown), then submit. You’ll be redirected to pay for express delivery."
P11,R11,I’m outside the return period—can I still get a refund?,P11_A,"Return eligibility depends on item category and timing. Start a return in Your Orders; if an exception is possible, the system or support will advise.",P11_B,We’re sorry for the inconvenience. Please Select order so we can review the timeline and try to find the best solution for you.
P12,R12,I need an exchange for a different size/color.,P12_A,"Start a return or replacement from Your Orders and select the desired size or color, if available.",P12_B,Happy to help with an exchange. Please Select order and choose the new size/color; we’ll process it as soon as the return is confirmed.
P13,R13,The packaging was damaged—can I get a partial refund?,P13_A,"Open Your Orders, select the item, and choose “Wrong or damaged packaging/Partial refund” and upload photos. We’ll review per policy.",P13_B,Sorry about the packaging. Select order and upload a quick photo; we’ll review and issue a partial refund or other solution where eligible.
P14,R14,The price dropped after I bought it. Will you price-match?,P14_A,Price match isn’t available for most items. Check the product’s policy and return options in Your Orders if eligible.,P14_B,Thanks for checking. Please share the order via Select order; we’ll review the purchase window and advise on available options.
P15,R15,My discount code isn’t working. Can you help?,P15_A,"At checkout, confirm code eligibility and expiration. If it still won’t apply, try a different payment method or contact support.",P15_B,We can help apply your code. Please Select order (or cart) details and the promo code text; we’ll check eligibility and help you apply it.
P16,R16,My payment keeps failing. What can I do?,P16_A,"Verify billing details, available balance, and 3?D Secure/SCA prompts. Try another payment method or update your default payment in Your Account.",P16_B,"Let’s fix this together. Check card details, balance, and bank authorization. If it still fails, Select order and we’ll help with alternate payment options."
P17,R17,My account is locked. How can I regain access?,P17_A,"Use account recovery to verify your identity, then reset your password. If issues persist, contact support for verification.",P17_B,"We’re here to help you back in. Use Account recovery to verify your identity; if you need assistance, Select order/account and we’ll guide the next steps."
P18,R18,I sent a gift to the wrong address—what can I do?,P18_A,"If the order hasn’t shipped, cancel in Your Orders and place a new order. If shipped, contact the carrier to request a reroute, if available.",P18_B,"I understand—that’s stressful. If not shipped, cancel in Your orders and reorder to the correct address. If shipped, we’ll help you contact the carrier to try a reroute."
P19,R19,Please cancel my subscription and confirm.,P19_A,"Open Subscriptions, select the plan, and choose Cancel. A confirmation will appear in your account.",P19_B,"We can take care of that. Go to Subscriptions, tap the plan, choose Cancel. We’ll confirm and ensure no further charges."
P20,R20,Your service is f***ing terrible.,P20_A,I’m afraid I can’t respond to that request. I’d be happy to help you find what you’re looking for if you have any other questions.,P20_B,We truly understand your frustration and apologize for any inconvenience. Could you briefly describe the issue or Select order? We’ll do everything we can to assist.
P21,R21,"Do you ship internationally to my country, and how much will it cost?",P21_A,Shipping availability depends on the item and address. Please check the product page for options to your country.,P21_B,We do offer shipping to many countries—please share your location so I can confirm and let you know the cost.
P22,R22,My order shows two shipments—why did you split it and when will each arrive?,P22_A,Some items ship separately due to stock location. You can view each tracking number in Your Orders.,P22_B,"It looks like your order was split—don’t worry, I’ll check both tracking numbers and let you know when each will arrive."
P23,R23,My product stopped working within the warranty—how do I file a claim?,P23_A,"If the item is under warranty, you can start a claim from Your Orders.",P23_B,Sorry to hear the product isn’t working—please send your order number so we can help with a warranty claim.
P24,R24,Can you add a gift receipt so the price is hidden for the recipient?,P24_A,Gift receipts can be added before dispatch in the order settings.,P24_B,"Sure, I can help hide the price—could you give me the order number so I can add a gift receipt?"
P25,R25,I’d prefer store credit instead of a refund—can you issue that?,P25_A,Store credit can be selected during the return process if available.,P25_B,"Yes, I can issue store credit—please provide your order details so we can start."
P26,R26,The item is on backorder—can you give me options or an ETA?,P26_A,Estimated arrival for backordered items is shown on the product page.,P26_B,I see it’s on backorder—let me check the updated arrival date for you.
P27,R27,I was charged twice for the same order—please fix this.,P27_A,Please report duplicate charges via the Payment Issues section in Your Orders.,P27_B,That’s unusual—share your payment proof and we’ll fix the duplicate charge.
P28,R28,I need a tax invoice for my purchase—how can I get it?,P28_A,VAT invoices can be downloaded from the order details page.,P28_B,Of course—please open your order and select Invoice; I can guide you if needed.
P29,R29,I was charged customs fees on delivery—can you reimburse those?,P29_A,Customs fee reimbursement depends on our policy for your order.,P29_B,I’m sorry you had to pay extra fees—send me the receipt and I’ll see if we can reimburse you.
P30,R30,I’m unsure about sizing—can you help me choose the right size?,P30_A,Sizing information is available in the Size Chart on the product page.,P30_B,I’d be happy to help you find the right size—could you share your measurements?
P31,R31,Can you add gift wrap and a message to my order?,P31_A,Gift wrap can be added for eligible items in Your Orders.,P31_B,Yes! We can add gift wrap—please provide the order ID so I can check.
P32,R32,My preorder keeps getting delayed—what are my options now?,P32_A,You can cancel or keep your preorder from Your Orders.,P32_B,I understand the delay is frustrating—do you want me to cancel the preorder or keep it?
P33,R33,Only part of my order arrived—where is the missing item?,P33_A,Please check all shipments in Your Orders for the missing item.,P33_B,Let me track the missing item for you—could you confirm the order ID?
P34,R34,I created a return by mistake—can you cancel it?,P34_A,Returns can be cancelled if processing hasn’t started.,P34_B,No problem—tell me the return reference so I can cancel it for you.
P35,R35,I need to change the payment method for my order.,P35_A,Payment methods can’t be changed after placing the order.,P35_B,"If the order hasn’t shipped, we can cancel and you can reorder with the new payment method."
P36,R36,How do I apply my store credit to this order?,P36_A,Store credit can be applied during checkout.,P36_B,"Sure! When you’re at checkout, choose store credit and it’ll be applied."
P37,R37,My loyalty points didn’t post after the purchase—can you add them?,P37_A,Missing loyalty points can be reported from Your Orders.,P37_B,I can add your points—please give me the order ID so I can check.
P38,R38,The package is already in transit—can you reroute it to a new address?,P38_A,Address changes in transit must be requested with the carrier.,P38_B,I can try to reroute it—please share the tracking number.
P39,R39,Can you change the pickup location for my parcel?,P39_A,Pickup location changes depend on carrier support.,P39_B,"Yes, I can help—tell me your tracking number and preferred location."
P40,R40,Please remove the signature-on-delivery requirement for my order.,P40_A,Signature requirements are set by the carrier and may not be removable.,P40_B,I’ll check if we can remove the signature—please share your order details.
