participant_id,pair_id,Prompt_Id,condition,construct,mean_score
R001,P1,P04,A,CMP,5.0
R001,P1,P04,A,HL,4.0
R001,P1,P04,A,PI,2.5
R001,P1,P04,B,CMP,2.0
R001,P1,P04,B,HL,5.0
R001,P1,P04,B,PI,4.0
R001,P2,P03,A,HL,1.0
R001,P2,P03,A,PI,3.5
R001,P2,P03,B,HL,4.0
R001,P2,P03,B,PI,3.5
R001,P3,P23,A,CMP,2.0
R001,P3,P23,A,CSAT,3.0
R001,P3,P23,A,PI,3.0
R001,P3,P23,B,CMP,2.0
R001,P3,P23,B,CSAT,4.0
R001,P3,P23,B,PI,4.0
R001,P4,P07,A,CMP,3.0
R001,P4,P07,A,CSAT,2.0
R001,P4,P07,A,PI,4.5
R001,P4,P07,B,CMP,2.0
R001,P4,P07,B,CSAT,5.0
R001,P4,P07,B,PI,3.5
R001,P5,P08,A,CSAT,4.0
R001,P5,P08,A,HL,3.0
R001,P5,P08,A,PI,3.0
R001,P5,P08,B,CSAT,4.0
R001,P5,P08,B,HL,3.0
R001,P5,P08,B,PI,4.0
R002,P1,P04,A,CMP,3.0
R002,P1,P04,A,HL,4.0
R002,P1,P04,A,PI,5.0
R002,P1,P04,B,CMP,5.0
R002,P1,P04,B,HL,3.0
R002,P1,P04,B,PI,4.0
R002,P2,P03,A,HL,3.0
R002,P2,P03,A,PI,5.0
R002,P2,P03,B,HL,5.0
R002,P2,P03,B,PI,4.5
R002,P3,P23,A,CMP,4.0
R002,P3,P23,A,CSAT,4.0
R002,P3,P23,A,PI,4.5
R002,P3,P23,B,CMP,3.0
R002,P3,P23,B,CSAT,4.0
R002,P3,P23,B,PI,4.0
R002,P4,P07,A,CMP,4.0
R002,P4,P07,A,CSAT,2.0
R002,P4,P07,A,PI,4.5
R002,P4,P07,B,CMP,3.0
R002,P4,P07,B,CSAT,3.0
R002,P4,P07,B,PI,4.0
R002,P5,P08,A,CSAT,5.0
R002,P5,P08,A,HL,5.0
R002,P5,P08,A,PI,4.5
R002,P5,P08,B,CSAT,5.0
R002,P5,P08,B,HL,4.0
R002,P5,P08,B,PI,3.5
R003,P1,P04,A,CMP,4.0
R003,P1,P04,A,HL,4.0
R003,P1,P04,A,PI,4.5
R003,P1,P04,B,CMP,2.0
R003,P1,P04,B,HL,5.0
R003,P1,P04,B,PI,3.5
R003,P2,P03,A,HL,4.0
R003,P2,P03,A,PI,4.0
