question,pair_id,chatbot,scenario,construct,reverse,Prompt_Id,prompt_text,reply_text
A1/ The reply sounds polite and respectful.,P1,Chatbot A,P1 – Missing package,PI,0,P04_A,My package never arrived. What’s the next step?,"Check the shipment status in Your Orders. If it shows delivered but you didn’t receive it, select ‘Item not received’ to start a claim."
A1/ I understand what I should do next.,P1,Chatbot A,P1 – Missing package,HL,0,P04_A,My package never arrived. What’s the next step?,"Check the shipment status in Your Orders. If it shows delivered but you didn’t receive it, select ‘Item not received’ to start a claim."
A1/ The reply acknowledges my situation appropriately.,P1,Chatbot A,P1 – Missing package,PI,0,P04_A,My package never arrived. What’s the next step?,"Check the shipment status in Your Orders. If it shows delivered but you didn’t receive it, select ‘Item not received’ to start a claim."
A1/ I would follow the instructions in this reply.,P1,Chatbot A,P1 – Missing package,CMP,0,P04_A,My package never arrived. What’s the next step?,"Check the shipment status in Your Orders. If it shows delivered but you didn’t receive it, select ‘Item not received’ to start a claim."
"A2/ The reply uses polite wording (e.g., please, could).",P2,Chatbot A,P2 – Damaged item,PI,0,P03_A,My product arrived damaged. I want a replacement.,"If you receive a damaged or defective item, request a free replacement or a full refund through Your Orders. For bulky items from third-party sellers, you can request a home pickup."
A2/ The next step is clear to me.,P2,Chatbot A,P2 – Damaged item,HL,0,P03_A,My product arrived damaged. I want a replacement.,"If you receive a damaged or defective item, request a free replacement or a full refund through Your Orders. For bulky items from third-party sellers, you can request a home pickup."
"A2/ Even when setting limits, the tone feels fair.",P2,Chatbot A,P2 – Damaged item,PI,0,P03_A,My product arrived damaged. I want a replacement.,"If you receive a damaged or defective item, request a free replacement or a full refund through Your Orders. For bulky items from third-party sellers, you can request a home pickup."
A2/ The reply feels curt or blaming. [R],P2,Chatbot A,P2 – Damaged item,RC,1,P03_A,My product arrived damaged. I want a replacement.,"If you receive a damaged or defective item, request a free replacement or a full refund through Your Orders. For bulky items from third-party sellers, you can request a home pickup."
A3/ The agen's tone is courteous.,P3,Chatbot A,P3 – Warranty claim,PI,0,P23_A,My product stopped working within the warranty—how do I file a claim?,"If the item is under warranty, you can start a claim from Your Orders."
A3/ I would do what the reply suggests.,P3,Chatbot A,P3 – Warranty claim,CMP,0,P23_A,My product stopped working within the warranty—how do I file a claim?,"If the item is under warranty, you can start a claim from Your Orders."
A3/ The reply sounds polite and respectful.,P3,Chatbot A,P3 – Warranty claim,PI,0,P23_A,My product stopped working within the warranty—how do I file a claim?,"If the item is under warranty, you can start a claim from Your Orders."
"A3/ Overall, I am satisfied with this reply.",P3,Chatbot A,P3 – Warranty claim,CSAT,0,P23_A,My product stopped working within the warranty—how do I file a claim?,"If the item is under warranty, you can start a claim from Your Orders."
A4/ The reply acknowledges my situation appropriately.,P4,Chatbot A,P4 – Policy limit / return deadline,PI,0,P07_A,Can you extend my return window by a few days?,"Amazon typically offers a 30-day return period, which may vary by category. For exceptions, please contact customer service with your situation."
"A4/ Overall, I am satisfied with this reply.",P4,Chatbot A,P4 – Policy limit / return deadline,CSAT,0,P07_A,Can you extend my return window by a few days?,"Amazon typically offers a 30-day return period, which may vary by category. For exceptions, please contact customer service with your situation."
"A4/ The reply uses polite wording (e.g., please, could).",P4,Chatbot A,P4 – Policy limit / return deadline,PI,0,P07_A,Can you extend my return window by a few days?,"Amazon typically offers a 30-day return period, which may vary by category. For exceptions, please contact customer service with your situation."
A4/ I would follow the instructions in this reply.,P4,Chatbot A,P4 – Policy limit / return deadline,CMP,0,P07_A,Can you extend my return window by a few days?,"Amazon typically offers a 30-day return period, which may vary by category. For exceptions, please contact customer service with your situation."
"A5/ Even when setting limits, the tone feels fair.",P5,Chatbot A,P5 – Address change,PI,0,P08_A,I need to change my delivery address before it ships.,"If available, choose Change delivery on the order’s shipment page or contact the carrier. Some shipments can’t be changed once processing begins."
"A5/ Overall, I am satisfied with this reply.",P5,Chatbot A,P5 – Address change,CSAT,0,P08_A,I need to change my delivery address before it ships.,"If available, choose Change delivery on the order’s shipment page or contact the carrier. Some shipments can’t be changed once processing begins."
A5/ The agent's tone is courteous.,P5,Chatbot A,P5 – Address change,PI,0,P08_A,I need to change my delivery address before it ships.,"If available, choose Change delivery on the order’s shipment page or contact the carrier. Some shipments can’t be changed once processing begins."
A5/ The next step is clear to me.,P5,Chatbot A,P5 – Address change,HL,0,P08_A,I need to change my delivery address before it ships.,"If available, choose Change delivery on the order’s shipment page or contact the carrier. Some shipments can’t be changed once processing begins."
B1/ The reply sounds polite and respectful.,P1,Chatbot B,P1 – Missing package,PI,0,P04_B,My package never arrived. What’s the next step?,We understand you haven’t received your package and we’re here to help. Please click Select order so we can identify the parcel and investigate with the carrier for you.
B1/ I understand what I should do next.,P1,Chatbot B,P1 – Missing package,HL,0,P04_B,My package never arrived. What’s the next step?,We understand you haven’t received your package and we’re here to help. Please click Select order so we can identify the parcel and investigate with the carrier for you.
B1/ The reply acknowledges my situation appropriately.,P1,Chatbot B,P1 – Missing package,PI,0,P04_B,My package never arrived. What’s the next step?,We understand you haven’t received your package and we’re here to help. Please click Select order so we can identify the parcel and investigate with the carrier for you.
B1/ I would follow the instructions in this reply.,P1,Chatbot B,P1 – Missing package,CMP,0,P04_B,My package never arrived. What’s the next step?,We understand you haven’t received your package and we’re here to help. Please click Select order so we can identify the parcel and investigate with the carrier for you.
